ID,"CubeId;""rendopar"""
1,"PublishingDate;""2018-04-03 14:30"""
2,
3,"Date;""d0"";""Value"""
4,"1988-01-04;""b0"";""4.386"""
5,"1988-01-04;""b1"";""-4.137"""
6,"1988-01-04;""b2"";""-0.001"""
7,"1988-01-04;""b3"";""-1.629"""
8,"1988-01-04;""t1"";""0.182"""
9,"1988-01-04;""t2"";""2.549"""
10,"1988-01-05;""b0"";"
11,"1988-01-05;""b1"";"
12,"1988-01-05;""b2"";"
13,"1988-01-05;""b3"";"
14,"1988-01-05;""t1"";"
15,"1988-01-05;""t2"";"
16,"1988-01-06;""b0"";"
17,"1988-01-06;""b1"";"
18,"1988-01-06;""b2"";"
19,"1988-01-06;""b3"";"
20,"1988-01-06;""t1"";"
21,"1988-01-06;""t2"";"
22,"1988-01-07;""b0"";"
23,"1988-01-07;""b1"";"
24,"1988-01-07;""b2"";"
25,"1988-01-07;""b3"";"
26,"1988-01-07;""t1"";"
27,"1988-01-07;""t2"";"
28,"1988-01-08;""b0"";"
29,"1988-01-08;""b1"";"
30,"1988-01-08;""b2"";"
31,"1988-01-08;""b3"";"
32,"1988-01-08;""t1"";"
33,"1988-01-08;""t2"";"
34,"1988-01-11;""b0"";""4.413"""
35,"1988-01-11;""b1"";""-4.039"""
36,"1988-01-11;""b2"";""0"""
37,"1988-01-11;""b3"";""-1.595"""
38,"1988-01-11;""t1"";""0.202"""
39,"1988-01-11;""t2"";""2.875"""
40,"1988-01-12;""b0"";"
41,"1988-01-12;""b1"";"
42,"1988-01-12;""b2"";"
43,"1988-01-12;""b3"";"
44,"1988-01-12;""t1"";"
45,"1988-01-12;""t2"";"
46,"1988-01-13;""b0"";"
47,"1988-01-13;""b1"";"
48,"1988-01-13;""b2"";"
49,"1988-01-13;""b3"";"
50,"1988-01-13;""t1"";"
51,"1988-01-13;""t2"";"
52,"1988-01-14;""b0"";"
53,"1988-01-14;""b1"";"
54,"1988-01-14;""b2"";"
55,"1988-01-14;""b3"";"
56,"1988-01-14;""t1"";"
57,"1988-01-14;""t2"";"
58,"1988-01-15;""b0"";"
59,"1988-01-15;""b1"";"
60,"1988-01-15;""b2"";"
61,"1988-01-15;""b3"";"
62,"1988-01-15;""t1"";"
63,"1988-01-15;""t2"";"
64,"1988-01-18;""b0"";""4.53"""
65,"1988-01-18;""b1"";""-4.031"""
66,"1988-01-18;""b2"";""-0.147"""
67,"1988-01-18;""b3"";""-2.025"""
68,"1988-01-18;""t1"";""0.212"""
69,"1988-01-18;""t2"";""2.81"""
70,"1988-01-19;""b0"";"
71,"1988-01-19;""b1"";"
72,"1988-01-19;""b2"";"
73,"1988-01-19;""b3"";"
74,"1988-01-19;""t1"";"
75,"1988-01-19;""t2"";"
76,"1988-01-20;""b0"";"
77,"1988-01-20;""b1"";"
78,"1988-01-20;""b2"";"
79,"1988-01-20;""b3"";"
80,"1988-01-20;""t1"";"
81,"1988-01-20;""t2"";"
82,"1988-01-21;""b0"";"
83,"1988-01-21;""b1"";"
84,"1988-01-21;""b2"";"
85,"1988-01-21;""b3"";"
86,"1988-01-21;""t1"";"
87,"1988-01-21;""t2"";"
88,"1988-01-22;""b0"";"
89,"1988-01-22;""b1"";"
90,"1988-01-22;""b2"";"
91,"1988-01-22;""b3"";"
92,"1988-01-22;""t1"";"
93,"1988-01-22;""t2"";"
94,"1988-01-25;""b0"";""4.391"""
95,"1988-01-25;""b1"";""-4.266"""
96,"1988-01-25;""b2"";""0.612"""
97,"1988-01-25;""b3"";""5.053"""
98,"1988-01-25;""t1"";""1.56"""
99,"1988-01-25;""t2"";""0.363"""
100,"1988-01-26;""b0"";"
101,"1988-01-26;""b1"";"
102,"1988-01-26;""b2"";"
103,"1988-01-26;""b3"";"
104,"1988-01-26;""t1"";"
105,"1988-01-26;""t2"";"
106,"1988-01-27;""b0"";"
107,"1988-01-27;""b1"";"
108,"1988-01-27;""b2"";"
109,"1988-01-27;""b3"";"
110,"1988-01-27;""t1"";"
111,"1988-01-27;""t2"";"
112,"1988-01-28;""b0"";"
113,"1988-01-28;""b1"";"
114,"1988-01-28;""b2"";"
115,"1988-01-28;""b3"";"
116,"1988-01-28;""t1"";"
117,"1988-01-28;""t2"";"
118,"1988-01-29;""b0"";""4.462"""
119,"1988-01-29;""b1"";""-3.901"""
120,"1988-01-29;""b2"";""-0.591"""
121,"1988-01-29;""b3"";""4.617"""
122,"1988-01-29;""t1"";""1.522"""
123,"1988-01-29;""t2"";""0.499"""
124,"1988-02-01;""b0"";""4.511"""
125,"1988-02-01;""b1"";""-3.331"""
126,"1988-02-01;""b2"";""-1.644"""
127,"1988-02-01;""b3"";""3.736"""
