"","1M","2M","3M","6M","9M","1Y","2Y","3Y","4Y","5Y","7Y","10Y","12Y","15Y","20Y"
"1",0.0163,0.0191,0.0205,0.0258,0.0294,0.0306,0.035,0.0408,0.0424,0.044,0.0465,0.049,0.0531,0.0592,0.0694
"2",0.0163,0.0191,0.0205,0.0258,0.0294,0.0306,0.035,0.0408,0.0424,0.044,0.0465,0.049,0.055,0.0654,0.0818
"3",0.015,0.0163,0.0175,0.022,0.0256,0.0281,0.0348,0.0398,0.0418,0.0443,0.0463,0.0488,0.0549,0.0656,0.0825
"4",0.0175,0.0188,0.02,0.0231,0.0259,0.0275,0.0328,0.0375,0.0408,0.0428,0.0448,0.0473,0.0527,0.0621,0.077
"5",0.0225,0.0231,0.0238,0.025,0.0275,0.0288,0.0341,0.0384,0.0407,0.0437,0.0453,0.048,0.0526,0.0607,0.0734
"6",0.0288,0.0294,0.0294,0.03,0.0313,0.0319,0.0355,0.0385,0.0406,0.0435,0.0455,0.0478,0.0512,0.0573,0.0668
"7",0.035,0.0356,0.0363,0.0373,0.0375,0.0375,0.04,0.042,0.0435,0.046,0.048,0.0498,0.0525,0.0571,0.0645
"8",0.0363,0.0388,0.0406,0.0431,0.0431,0.0438,0.0449,0.0462,0.048,0.0492,0.0508,0.0519,0.0548,0.0597,0.0676
"9",0.0369,0.0375,0.0388,0.0419,0.0425,0.0425,0.0438,0.0454,0.046,0.048,0.0495,0.0511,0.0536,0.0581,0.0652
"10",0.0327,0.0331,0.0375,0.0388,0.0394,0.04,0.0429,0.0438,0.0452,0.0467,0.0484,0.0508,0.0541,0.0599,0.0689
"11",0.0394,0.0406,0.0406,0.0406,0.0406,0.0409,0.0419,0.0426,0.0439,0.0449,0.0468,0.0488,0.0505,0.0534,0.0581
"12",0.0494,0.0481,0.0472,0.0456,0.045,0.0448,0.0455,0.0464,0.0474,0.0484,0.0496,0.0508,0.0511,0.0515,0.0522
"13",0.0478,0.0481,0.0488,0.0488,0.0488,0.0492,0.0479,0.0484,0.0489,0.0499,0.0504,0.051,0.0516,0.0526,0.0542
"14",0.0575,0.0581,0.0588,0.0594,0.0594,0.0594,0.0565,0.0563,0.0563,0.0563,0.0565,0.0568,0.0566,0.0564,0.056
